,,,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solid,Solid,Solid,Solid,Solid,Solid,Solid,Solid
Experiment,Study,Phase,Temp (°C),pH (NBS),[Na] (M),[Cl] (M),[B] (M),[Ca] (M),[DIC] (M),[Mg] (M),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),ionstr,B/Ca (umol/mol),B/Ca_2std (umol/mol),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),logR,logR_2std,logR_unit,seeds
CaB-58(s),Noireaux,Calcite,25,9.39,0.1,0.1,0.00579,3.69E-05,0.0106,0,-0.8,0.4,0.1,129.63,2.59,-12.9,1.9,-7.34,,mol/m2/sec,TRUE
CaB-48(s),Noireaux,Calcite,25,8.47,0.1,0.1,0.00568,0.000699,0.00212,0,-0.8,0.4,0.1,111.11,2.22,-15.1,0.2,-7.37,,mol/m2/sec,TRUE
CaB-69(s),Noireaux,Calcite,25,8.38,0.1,0.1,0.0156,0.000582,0.00231,0,-0.8,0.4,0.1,111.11,2.22,-14.8,0.2,-9.09,,mol/m2/sec,TRUE
CaB-47(s),Noireaux,Calcite,25,8.34,0.1,0.1,0.0177,0.00106,0.00154,0,-0.8,0.4,0.1,509.25,10.18,-15.5,0.2,-7.41,,mol/m2/sec,TRUE
CaB-39(s),Noireaux,Calcite,25,8.29,0.1,0.1,0.0203,0.00129,0.00164,0,-0.8,0.4,0.1,157.4,3.15,-13.4,0.2,-9.17,,mol/m2/sec,TRUE
CaB-38(s),Noireaux,Calcite,25,8.79,0.1,0.1,0.017,0.000184,0.00316,0,-0.8,0.4,0.1,333.33,6.67,-12.9,0.2,-8.36,,mol/m2/sec,TRUE
CaB-7(s),Noireaux,Calcite,25,7.53,0.1,0.1,0.0164,0.00324,0.00461,0,-0.8,0.4,0.11,287.03,5.74,-17.5,0.8,-7.33,,mol/m2/sec,TRUE
CaB-54(s),Noireaux,Calcite,25,7.41,0.1,0.1,0.00547,0.00453,0.00368,0,-0.8,0.4,0.11,212.96,4.26,-14.8,0.7,-7.49,,mol/m2/sec,TRUE
CaB-53(s),Noireaux,Calcite,25,7.4,0.1,0.1,0.0163,0.00513,0.00389,0,-0.8,0.4,0.11,351.84,7.04,-16.6,0.6,-7.48,,mol/m2/sec,TRUE
CaB-45(s),Noireaux,Calcite,25,8.72,0.2,0.2,0.0159,0.000244,0.00407,0,-0.8,0.4,0.2,1462.93,29.26,-12.3,0.4,-7.01,,mol/m2/sec,TRUE
CaB-73(s),Noireaux,Calcite,25,8.88,0.2,0.2,0.0147,0.000162,0.0102,0,-0.8,0.4,0.2,342.58,6.85,-11.7,0.2,-7.24,,mol/m2/sec,TRUE
CaB-30,Noireaux,Calcite,25,8.55,0.1,0.1,0.0044,0.000559,0.00209,0,-0.8,0.4,0.1,324.07,6.48,-14.9,0.2,-6.02,,mol/m2/sec,FALSE
CaB-77,Noireaux,Calcite,25,8.24,0.1,0.1,0.000917,0.00205,0.00122,0,-0.8,0.4,0.1,37.04,0.74,-15.4,0.2,-5.51,,mol/m2/sec,FALSE
CaB-12,Noireaux,Calcite,25,8.34,0.1,0.1,0.0093,0.00172,0.00148,0,-0.8,0.4,0.1,638.87,12.78,-14.9,0.2,-5.54,,mol/m2/sec,FALSE
CaB-70,Noireaux,Calcite,25,8.3,0.1,0.1,0.0164,0.00175,0.00174,0,-0.8,0.4,0.1,361.1,7.22,-14.8,0.2,-7.24,,mol/m2/sec,FALSE
CaB-8,Noireaux,Calcite,25,7.52,0.1,0.1,0.0163,0.00357,0.00508,0,-0.8,0.4,0.11,2111.06,42.22,-16.6,0.2,-5.64,,mol/m2/sec,FALSE
CaB-111,Noireaux,Calcite,25,7.99,0.1,0.1,0.0152,0.00082,0.013,0,-0.8,0.4,0.1,620.35,12.41,-16.7,0.2,-5.17,,mol/m2/sec,FALSE
CaB-46,Noireaux,Calcite,25,8.64,0.2,0.2,0.0163,0.000306,0.00328,0,-0.8,0.4,0.2,222.22,4.44,-13.1,0.2,-5.47,,mol/m2/sec,FALSE
CaB-85,Noireaux,Calcite,25,8.88,0.2,0.2,0.0152,8.98E-05,0.0062,0,-0.8,0.4,0.2,166.66,3.33,-11,0.2,-5.18,,mol/m2/sec,FALSE
CaB-40,Noireaux,Calcite,25,8.23,0.1,0.1,0.0185,0.00233,0.00121,0,-0.8,0.4,0.1,768.5,15.37,-13.2,1.1,,,mol/m2/sec,FALSE
CaB-9,Noireaux,Aragonite,25,7.58,0.1,0.15,0.016,0.00474,0.00552,0.025,-0.8,0.4,0.18,1092.56,21.85,-24.6,0.2,,,mol/m2/sec,FALSE
CaB-10,Noireaux,Aragonite,25,7.6,0.1,0.15,0.0161,0.00407,0.00583,0.025,-0.8,0.4,0.18,462.95,9.26,-25,0.2,,,mol/m2/sec,FALSE
CaB-72,Noireaux,Aragonite,25,8.41,0.1,0.15,0.0169,0.00204,0.00247,0.025,-0.8,0.4,0.18,157.4,3.15,-18.3,0.4,,,mol/m2/sec,FALSE
CaB-19,Noireaux,Aragonite,25,8.44,0.1,0.15,0.015,0.0023,0.00316,0.025,-0.8,0.4,0.18,5083.2,101.66,-18.3,0.3,,,mol/m2/sec,FALSE
CaB-94,Noireaux,Aragonite,25,7.86,0.2,0.25,0.0146,0.00158,0.0125,0.025,-0.8,0.4,0.28,1805.51,36.11,-23.1,0.2,-6.08,,mol/m2/sec,FALSE
CaB-79,Noireaux,Aragonite,25,8.32,0.1,0.15,0.000826,0.00229,0.00152,0.025,-0.8,0.4,0.18,259.25,5.19,-21.8,1.6,-6.26,,mol/m2/sec,FALSE
CaB-80,Noireaux,Aragonite,25,8.36,0.1,0.15,0.000432,0.0023,0.00164,0.025,-0.8,0.4,0.18,157.4,3.15,-22.5,0.5,-6.51,,mol/m2/sec,FALSE
CaB-26,Noireaux,Aragonite,25,8.54,0.1,0.15,0.00438,0.00149,0.00274,0.025,-0.8,0.4,0.18,1398.11,27.96,-18.9,0.5,-6.09,,mol/m2/sec,FALSE
CaB-87,Noireaux,Aragonite,25,8.88,0.2,0.25,0.0146,0.000231,0.00699,0.025,-0.8,0.4,0.28,5083.2,101.66,-14.7,0.3,-6.07,,mol/m2/sec,FALSE
Run 1,Kaczmarek,Calcite,12,8.6,0.700000100145876,0.700000099870464,0.00365,0.001180000545482,0.006330001054284,0,-14.24,0.5,0.6,518.44,18.52,-27.8,0.51,-0.769551079,,mg/mg/hr,TRUE
Run 2,Kaczmarek,Calcite,12,8.66,0.700000093458641,0.700000093173935,0.0037,0.001170000512157,0.006380001013805,0,-14.15,0.36,0.6,611.02,27.77,-27.51,0.17,-0.744727495,,mg/mg/hr,TRUE
Run 3,Kaczmarek,Calcite,12,8.64,0.700000094051641,0.700000093776082,0.00366,0.001200000527949,0.006370001013179,0,-14.34,0.18,0.6,620.28,27.77,-27.62,0.18,-0.721246399,,mg/mg/hr,TRUE
Run 4,Kaczmarek,Calcite,12,8.63,0.7000000948578,0.70000009457444,0.00366,0.001170000517944,0.006460001032109,0,-14.31,0.37,0.6,592.5,18.52,-27.98,0.09,-0.769551079,,mg/mg/hr,TRUE
Run 5,Kaczmarek,Calcite,22,8.76,0.699999863020942,0.699999862974691,0.00372,0.000719999699487,0.005169999010084,0,-14.09,0.59,0.61,638.79,27.77,-24.53,0.16,-0.26760624,,mg/mg/hr,TRUE
Run 6,Kaczmarek,Calcite,22,8.75,0.699999864787248,0.699999864746121,0.00367,0.000729999699791,0.005079999041017,0,-14.02,0.19,0.61,546.21,18.52,-24.52,0.54,-0.214670165,,mg/mg/hr,TRUE
Run 7,Kaczmarek,Calcite,22,8.76,0.699999862854365,0.699999862804827,0.00368,0.000719999699312,0.00529,0,-14.11,0.18,0.61,518.44,18.52,-24.42,0.02,-0.070581074,,mg/mg/hr,TRUE
Run 8,Kaczmarek,Calcite,22,8.75,0.699999864161604,0.699999864115267,0.00367,0.000719999702497,0.00523,0,-14.1,0.16,0.61,546.21,18.52,-24.41,0.38,-0.124938737,,mg/mg/hr,TRUE
Run 9,Kaczmarek,Calcite,22,8.77,0.699999828785759,0.699999828822797,0.00367,0.001069999417924,0.00509,0,-14.01,0.04,0.61,1036.88,37.03,-26.43,0.19,0.176091259,,mg/mg/hr,TRUE
Run 10,Kaczmarek,Calcite,22,8.76,0.699999831569052,0.69999983160663,0.00365,0.001069999428772,0.00507,0,-14.35,0.22,0.61,1036.88,37.03,-26.66,0.14,0.152288344,,mg/mg/hr,TRUE
Run 11,Kaczmarek,Calcite,22,8.75,0.699999836323572,0.699999836355883,0.00365,0.001049999457922,0.00508,0,-14.03,0.07,0.61,1083.17,46.29,-26.69,0.23,0.161368002,,mg/mg/hr,TRUE
Run 12,Kaczmarek,Calcite,22,8.75,0.699999834094249,0.699999834131025,0.00366,0.001059999443761,0.00505,0,-14.03,0.12,0.61,1055.4,46.29,-26.57,0.1,0.146128036,,mg/mg/hr,TRUE
Run 13,Kaczmarek,Calcite,32,8.73,0.699999615768415,0.69999961590214,0.00369,0.000699999062936,0.0052,0,-14.04,0.08,0.62,518.44,18.52,-25.32,0.04,0.206825876,,mg/mg/hr,TRUE
Run 14,Kaczmarek,Calcite,32,8.73,0.699999612178934,0.699999612317759,0.00376,0.000709999040125,0.00522,0,-13.96,0.28,0.62,555.47,18.52,-25.23,0.31,0.209515015,,mg/mg/hr,TRUE
Run 15,Kaczmarek,Calcite,32,8.73,0.699999613613948,0.699999613752442,0.00379,0.000709999043795,0.00517,0,-14.25,0.07,0.62,499.93,18.52,-25.08,0.1,0.206825876,,mg/mg/hr,TRUE
