,,,Solid,Solid,Solid,Solid,Solid,Solid,Solid,Solid,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solution,Solid,Solid,Solid,Solution,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer
Experiment,,,B/Ca (umol/mol),B/Ca_2std (umol/mol),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),logR,logR_2std,logR_unit,seeds,Temp (°C),[B] (M),[Ca] (M),[Cl] (M),[DIC] (M),[Mg] (M),[Na] (M),d11B (permil vs NIST951),d11B_2std (permil vs NIST951),ionstr,pH (NBS),B/Ca_eprop (umol/mol),d11B_eprop (permil vs NIST951),logR_eprop,d11B_eprop (permil vs NIST951),Alk(eq/kgw),B,C,Ca,Cl,K,Mg,Na,S(6),dist_x,m_B(OH)3,m_B(OH)4-,m_B3O3(OH)4-,m_B4O5(OH)4-2,m_CO2,m_CO3-2,m_CaB(OH)4+,m_CaCO3,m_CaH2BO3+,m_CaHCO3+,m_H+,m_H2BO3-,m_H2CO3,m_H3BO3,m_H5(BO3)2-,m_H8(BO3)3-,m_HCO3-,m_NaCO3-,m_NaH2BO3,m_NaHCO3,m_OH-,mu,pH,pe,si_Aragonite,si_Calcite,sim,soln,state,step,temp(C),time
CaB-10,Noireaux,Aragonite,462.95,9.26,-25.0,0.2,,,mol/m2/sec,False,25,0.0161,0.004070000000000001,0.15,0.00583,0.025,0.1,-0.8,0.4,0.18,7.6,463+/-9,-25.00+/-0.20,nan+/-nan,-0.8+/-0.4,0.006457922247245407,0.01624486296407158,0.005882456588779974,0.0041066206374856355,0.15134965494394215,0.0,0.025224942490419285,0.10089976996310157,0.0,-99.0,0.015520152604997998,0.0005713322603426776,7.825637818817598e-06,4.431446275864258e-08,0.0002277255433155423,3.9061320981101694e-05,2.8960798307242747e-05,0.0,0.0,0.0,3.18065644637703e-08,0.0,0.0,0.0,0.0,0.0,0.005561653154159425,0.0,0.0,0.0,6.135208550205901e-07,0.18763331742699918,7.6,4.0,0.22614234371240993,0.5081171972423446,1,1,i_soln,-99,25.0,-99.0
CaB-111,Noireaux,Calcite,620.35,12.41,-16.7,0.2,-5.17,,mol/m2/sec,False,25,0.0152,0.00082,0.1,0.013000000000000001,0.0,0.1,-0.8,0.4,0.1,7.99,620+/-12,-16.70+/-0.20,-5.17+/-nan,-0.8+/-0.4,0.014151370966063932,0.015304602456867109,0.013089462627646388,0.0008256430272897717,0.10068817405852003,0.0,0.0,0.10068817405860955,0.0,-99.0,0.014138724064563298,0.0011132317079426638,1.2822597781833425e-05,1.2135040383141775e-07,0.00024618407375976553,0.00016679749692428047,1.3693489400320554e-05,0.0,0.0,0.0,1.2968040469085204e-08,0.0,0.0,0.0,0.0,0.0,0.012676481056962341,0.0,0.0,0.0,1.3173873610187475e-06,0.10955469043245115,7.99,4.0,0.37488476597764997,0.6568596195075846,1,1,i_soln,-99,25.0,-99.0
CaB-12,Noireaux,Calcite,638.87,12.78,-14.9,0.2,-5.54,,mol/m2/sec,False,25,0.0093,0.00172,0.1,0.00148,0.0,0.1,-0.8,0.4,0.1,8.34,639+/-13,-14.90+/-0.20,-5.54+/-nan,-0.8+/-0.4,0.002952664381429631,0.009357116389316546,0.0014890894899149845,0.001730563461259906,0.10061415472387887,0.0,0.0,0.10061415472396991,0.0,-99.0,0.007914883241462084,0.0013913259133188731,4.998808742443996e-06,5.73209421693967e-08,1.260709080680244e-05,4.112057191530239e-05,3.5681524539580004e-05,0.0,0.0,0.0,5.664229688990514e-09,0.0,0.0,0.0,0.0,0.0,0.0014353618271928797,0.0,0.0,0.0,2.94618615060008e-06,0.10552143434507086,8.34,4.0,0.11181994855680877,0.39379480208674345,1,1,i_soln,-99,25.0,-99.0
CaB-19,Noireaux,Aragonite,5083.2,101.66,-18.3,0.3,,,mol/m2/sec,False,25,0.015,0.0023,0.15,0.00316,0.025,0.1,-0.8,0.4,0.18,8.44,(5.08+/-0.10)e+03,-18.30+/-0.30,nan+/-nan,-0.8+/-0.4,0.0070347172687585694,0.015131213485888724,0.003187642307676817,0.0023201194011182166,0.1513121348542043,0.0,0.02521868914208814,0.1008747565706656,0.0,-99.0,0.011553698059577712,0.002916888226471071,2.2103202451365834e-05,6.344126569954167e-07,1.6914047834269058e-05,0.00013504147832721006,8.162699003211031e-05,0.0,0.0,0.0,4.5907325416573875e-09,0.0,0.0,0.0,0.0,0.0,0.002846780412830783,0.0,0.0,0.0,4.196184919997739e-06,0.18306620418400688,8.44,4.0,0.515487736047195,0.7974625895771297,1,1,i_soln,-99,25.0,-99.0
CaB-26,Noireaux,Aragonite,1398.11,27.96,-18.9,0.5,-6.09,,mol/m2/sec,False,25,0.004379999999999999,0.00149,0.15,0.00274,0.025,0.1,-0.8,0.4,0.18,8.54,1398+/-28,-18.9+/-0.5,-6.09+/-nan,-0.8+/-0.4,0.004324113174764247,0.0044175438853406674,0.0027634863574992753,0.0015027717783289265,0.1512857494954393,0.0,0.02521429158218013,0.10085716633110746,0.0,-99.0,0.003201541632770876,0.0010142666406415268,5.880067917379467e-07,5.8566029283051676e-09,1.1373909001925085e-05,0.00014218293015892807,1.893183182157733e-05,0.0,0.0,0.0,3.6439005349885773e-09,0.0,0.0,0.0,0.0,0.0,0.002405055548227436,0.0,0.0,0.0,5.25957450543262e-06,0.18078556867443246,8.54,4.0,0.366070332278543,0.6480451858084777,1,1,i_soln,-99,25.0,-99.0
CaB-30,Noireaux,Calcite,324.07,6.48,-14.9,0.2,-6.02,,mol/m2/sec,False,25,0.0044,0.000559,0.1,0.00209,0.0,0.1,-0.8,0.4,0.1,8.55,324+/-6,-14.90+/-0.20,-6.02+/-nan,-0.8+/-0.4,0.0031731440862137585,0.004426745415907051,0.0021027040725611766,0.0005623978835252179,0.10060785036161328,0.0,0.0,0.10060785036166896,0.0,-99.0,0.0034407304003660232,0.0009757521104640161,6.615725410833876e-07,5.3112162350207946e-09,1.0870235483499886e-05,9.189082513029272e-05,8.256942588821569e-06,0.0,0.0,0.0,3.4948381871905037e-09,0.0,0.0,0.0,0.0,0.0,0.001999943011947384,0.0,0.0,0.0,4.741670817585336e-06,0.10339460391766607,8.55,4.0,-0.01683506837860449,0.2651397851513302,1,1,i_soln,-99,25.0,-99.0
CaB-38(s),Noireaux,Calcite,333.33,6.67,-12.9,0.2,-8.36,,mol/m2/sec,True,25,0.017,0.000184,0.1,0.00316,0.0,0.1,-0.8,0.4,0.1,8.79,333+/-7,-12.90+/-0.20,-8.36+/-nan,-0.8+/-0.4,0.009080225529823644,0.017106543746896918,0.003179804602384707,0.00018515317938212197,0.10062672792315032,0.0,0.0,0.10062672792330474,0.0,-99.0,0.011354468045394294,0.005605296274718968,4.152915846164328e-05,1.930526214693306e-06,9.114224393990673e-06,0.00023613247221953987,1.446984653995629e-05,0.0,0.0,0.0,2.0212890985610146e-09,0.0,0.0,0.0,0.0,0.0,0.0029345579057711763,0.0,0.0,0.0,8.248368752533386e-06,0.1057462723731594,8.79,4.0,-0.13037299610107844,0.15160185742885623,1,1,i_soln,-99,25.0,-99.0
CaB-39(s),Noireaux,Calcite,157.4,3.15,-13.4,0.2,-9.17,,mol/m2/sec,True,25,0.0203,0.0012900000000000001,0.1,0.00164,0.0,0.1,-0.8,0.4,0.1,8.29,157.4+/-3.1,-13.40+/-0.20,-9.17+/-nan,-0.8+/-0.4,0.004520064298415072,0.02042696374266668,0.0016502571693622306,0.0012980681393243586,0.100625437156077,0.0,0.0,0.10062543715623212,0.0,-99.0,0.017486083674277078,0.002740052880359768,4.826358259256287e-05,1.0876630097794905e-06,1.5676526224070385e-05,4.068848514800529e-05,5.1685788213027695e-05,0.0,0.0,0.0,6.351581676066464e-09,0.0,0.0,0.0,0.0,0.0,0.001593892157990155,0.0,0.0,0.0,2.623944525665195e-06,0.10542001650715573,8.29,4.0,-0.02663572086536803,0.25533913266456665,1,1,i_soln,-99,25.0,-99.0
CaB-40,Noireaux,Calcite,768.5,15.37,-13.2,1.1,,,mol/m2/sec,False,25,0.0185,0.00233,0.1,0.00121,0.0,0.1,-0.8,0.4,0.1,8.23,768+/-15,-13.2+/-1.1,nan+/-nan,-0.8+/-0.4,0.0035648040424036626,0.018615630701872075,0.0012175628729350226,0.0023445632181439448,0.10062503082095516,0.0,0.0,0.10062503082111336,0.0,-99.0,0.016215350894511406,0.0022212163388291395,3.3609590376531383e-05,6.153030766827724e-07,1.3280140263026891e-05,2.6400020114503e-05,7.57734850952054e-05,0.0,0.0,0.0,7.291698360049864e-09,0.0,0.0,0.0,0.0,0.0,0.0011778827125574927,0.0,0.0,0.0,2.2985608612823382e-06,0.10697203492311361,8.23,4.0,0.04041161308895447,0.32238646661888914,1,1,i_soln,-99,25.0,-99.0
